location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Quincy BAM,PLUMAS,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,50,µg/m³,39.9369,-120.9478,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Northern Sierra AQMD""}]"
Portola,PLUMAS,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,63,µg/m³,39.808334,-120.471664,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Northern Sierra AQMD""}]"
Chester BAM,PLUMAS,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,38,µg/m³,40.301899,-121.235001,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Northern Sierra AQMD""}]"
Lincoln,Sacramento--Arden-Arcade--Roseville,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,178,µg/m³,38.89,-121.3,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Placer County APCD""}]"
Tahoe City,PLACER,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,2,µg/m³,39.166,-120.1488,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Placer County APCD""}]"
Roseville - N.Sunris,Sacramento--Arden-Arcade--Roseville,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,112,µg/m³,38.7458,-121.2653,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
Roseville - N.Sunris,Sacramento--Arden-Arcade--Roseville,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm10,139,µg/m³,38.7458,-121.2653,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
Colfax,Sacramento--Arden-Arcade--Roseville,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,112,µg/m³,39.1003,-120.9528,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Placer County APCD""}]"
La Habra,Los Angeles-Long Beach-Santa Ana,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,co,0.86,ppm,33.925062,-117.952586,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Mission Viejo,Los Angeles-Long Beach-Santa Ana,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,co,0.35,ppm,33.629991,-117.675875,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Anaheim,Los Angeles-Long Beach-Santa Ana,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,17.9,µg/m³,33.830586,-117.938509,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Anaheim,Los Angeles-Long Beach-Santa Ana,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm10,59,µg/m³,33.830586,-117.938509,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Anaheim,Los Angeles-Long Beach-Santa Ana,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,co,1.25,ppm,33.830586,-117.938509,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Coast AQMD""}]"
Truckee BAM,Truckee-Grass Valley,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,6,µg/m³,39.3386,-120.170303,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Northern Sierra AQMD""}]"
Grass Valley,Truckee-Grass Valley,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,167,µg/m³,39.234402,-121.055603,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Northern Sierra AQMD""}]"
Napa - Napa Valley C,Napa,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,48,µg/m³,38.278849,-122.275024,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""San Francisco Bay Area AQMD""}]"
Napa - Napa Valley C,Napa,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,co,0.92,ppm,38.278849,-122.275024,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""San Francisco Bay Area AQMD""}]"
Mono Shore,MONO,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm10,6,µg/m³,38.0697,-118.9477,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Great Basin Unified Air Pollution Control District""}]"
Lee Vining,MONO,US,2018-11-15T05:00:00.000Z,2018-11-14T21:00:00-08:00,pm25,3.7,µg/m³,37.962069,-119.120278,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Great Basin Unified Air Pollution Control District""}]"
